NIMI ;OSOITE;POSTINUMERO;KUNTA;LUVAN ALKUPÄIVÄ;LUVAN SELITE;OSASTON NIMI;ASIAKASPAIKAT;
Jokiasema;Hasaniementie 3;80110;Joensuu;27.3.2020;Ann.lupa sis. vähittäismyynnin;Sisäterassi;25;
Jokiasema;Hasaniementie 3;80110;Joensuu;27.3.2020;Ann.lupa sis. vähittäismyynnin;Ravintolasali;80;
Jokimaan Ravikeskus;Jokimaankatu 6;15700;Lahti;7.9.1981;Anniskelu A, kaikki alkoholijuomat;3. krs ravintolan katsomo;80;
Jokimaan Ravikeskus;Jokimaankatu 6;15700;Lahti;7.9.1981;Anniskelu A, kaikki alkoholijuomat;3. krs ravintola;300;
Jokimaan Ravikeskus;Jokimaankatu 6;15700;Lahti;7.9.1981;Anniskelu A, kaikki alkoholijuomat;Kahvila;155;
Jokimaan Ravikeskus;Jokimaankatu 6;15700;Lahti;7.9.1981;Anniskelu A, kaikki alkoholijuomat;Olutkrouvi;80;
Jokimaan Ravikeskus;Jokimaankatu 6;15700;Lahti;7.9.1981;Anniskelu A, kaikki alkoholijuomat;Pääravintola;500;
Jokimaan Ravikeskus;Jokimaankatu 6;15700;Lahti;7.9.1981;Anniskelu A, kaikki alkoholijuomat;Krouvi terassi;210;
Jokimaan Tanssilava;Jokimaantie 360;61800;Kauhajoki;1.3.2018;Anniskelu A, kaikki alkoholijuomat;Terassi;70;
Jokimaan Tanssilava;Jokimaantie 360;61800;Kauhajoki;1.3.2018;Anniskelu A, kaikki alkoholijuomat;Kahvila;100;
Jokothai;Asemakatu 11;40100;Jyväskylä;10.6.2019;Anniskelu A, kaikki alkoholijuomat;Terassi;20;
Jokothai;Asemakatu 11;40100;Jyväskylä;10.6.2019;Anniskelu A, kaikki alkoholijuomat;Sali (Alakerta);30;
Jokothai;Asemakatu 11;40100;Jyväskylä;10.6.2019;Anniskelu A, kaikki alkoholijuomat;Sali (Yläkerta);32;
Joku Kahvila;Rantatie 708;16730;Hollola;27.6.2015;Anniskelu A, kaikki alkoholijuomat;Kahvila-Ravintola;30;
Joku Kahvila;Rantatie 708;16730;Hollola;27.6.2015;Anniskelu A, kaikki alkoholijuomat;Kartanon pihapiiri;3000;
Joku Kahvila;Rantatie 708;16730;Hollola;27.6.2015;Anniskelu A, kaikki alkoholijuomat;Kartanon päärakennus;200;
Joku Kahvila;Rantatie 708;16730;Hollola;27.6.2015;Anniskelu A, kaikki alkoholijuomat;Terassi;30;
Joku Paikallinen Pubi;Laurintie 2;91100;Ii;10.3.2020;Anniskelu A, kaikki alkoholijuomat;Ravintolasali;100;
Joku Paikallinen Pubi;Laurintie 2;91100;Ii;10.3.2020;Anniskelu A, kaikki alkoholijuomat;Ulkoterassi;28;
Joku Paikallinen Pubi;Valtatie 67;90500;Oulu;25.11.2010;Anniskelu A, kaikki alkoholijuomat;Sali;46;
Joku Paikallinen Pubi;Valtatie 67;90500;Oulu;25.11.2010;Anniskelu A, kaikki alkoholijuomat;Terassi;50;
Jolene;Aleksanterinkatu 22;33100;Tampere;10.2.2020;Anniskelu A, kaikki alkoholijuomat;Ravintolasali yläkerta;49;
Jolene;Aleksanterinkatu 22;33100;Tampere;10.2.2020;Anniskelu A, kaikki alkoholijuomat;Ravintolasali alakerta;150;
Jolene;Kauppakatu 18;70100;Kuopio;30.8.2013;Anniskelu A, kaikki alkoholijuomat;Yökerho;500;
Jolene;Kauppakatu 18;70100;Kuopio;30.8.2013;Anniskelu A, kaikki alkoholijuomat;Terassi  ** );55;
Jolene Happy Bar;Kivimiehenkatu 6;45100;Kouvola;27.3.2019;Anniskelu A, kaikki alkoholijuomat;Terassi;60;
Jolene Happy Bar;Kivimiehenkatu 6;45100;Kouvola;27.3.2019;Anniskelu A, kaikki alkoholijuomat;Pub / Yläkerta;60;
Jolene Happy Bar;Kivimiehenkatu 6;45100;Kouvola;27.3.2019;Anniskelu A, kaikki alkoholijuomat;Disco / Alakerta;160;
Jollaksen Kartano;Jollaksentie 54;850;Helsinki;1.6.2020;Ann.lupa sis. vähittäismyynnin;Terassi;15;
Jollaksen Kartano;Jollaksentie 54;850;Helsinki;1.6.2020;Ann.lupa sis. vähittäismyynnin;Sisätila;6;
Jones Karaoke Bar;Kaisaniemenkatu 13;100;Helsinki;7.6.2000;Anniskelu A, kaikki alkoholijuomat;Sali;80;
Jones Karaoke Bar;Kaisaniemenkatu 13;100;Helsinki;7.6.2000;Anniskelu A, kaikki alkoholijuomat;Terassi;8;
Jonel Thai;Vapaudenkatu 15;15140;Lahti;24.9.2001;Anniskelu A, kaikki alkoholijuomat;Ravintolasali;60;
Jongunjoen Matkailu;Kivivaarantie 21;81970;Lieksa;1.1.2014;Anniskelu A, kaikki alkoholijuomat;Grillikatos;30;
Jongunjoen Matkailu;Kivivaarantie 21;81970;Lieksa;1.1.2014;Anniskelu A, kaikki alkoholijuomat;Saunarakennus;30;
Jongunjoen Matkailu;Kivivaarantie 21;81970;Lieksa;1.1.2014;Anniskelu A, kaikki alkoholijuomat;Terassi;12;
Jongunjoen Matkailu;Kivivaarantie 21;81970;Lieksa;1.1.2014;Anniskelu A, kaikki alkoholijuomat;Päärakennuksen saunan pu ja terassi;6;
Jongunjoen Matkailu;Kivivaarantie 21;81970;Lieksa;1.1.2014;Anniskelu A, kaikki alkoholijuomat;Ravintolasali;110;
Joroisten Golf Klubi-ravintola;Golftie 14 B;79600;Joroinen;1.6.2018;Ann.lupa sis. vähittäismyynnin;terassi;50;
Joroisten Golf Klubi-ravintola;Golftie 14 B;79600;Joroinen;1.6.2018;Ann.lupa sis. vähittäismyynnin;Lasikuisti;40;
Joroisten Golf Klubi-ravintola;Golftie 14 B;79600;Joroinen;1.6.2018;Ann.lupa sis. vähittäismyynnin;Ravintolasali;90;
Joroisten Golf Klubi-ravintola;Golftie 14 B;79600;Joroinen;1.6.2018;Ann.lupa sis. vähittäismyynnin;Pukuhuonetilat;10;
Joroisten Golf Klubi-ravintola;Golftie 14 B;79600;Joroinen;1.6.2018;Ann.lupa sis. vähittäismyynnin;Ulkoterassi;100;
Jortsula;Tampereentie 21;37500;Lempäälä;18.6.2020;Anniskelu A, kaikki alkoholijuomat;Pihaterassi;150;
Jortsula;Tampereentie 21;37500;Lempäälä;18.6.2020;Anniskelu A, kaikki alkoholijuomat;Juhlasali;90;
Jortsula;Tampereentie 21;37500;Lempäälä;18.6.2020;Anniskelu A, kaikki alkoholijuomat;Terassi;20;
Joulumuorin Tupa;Koskikatu 3;98800;Savukoski;27.11.2012;Anniskelu A, kaikki alkoholijuomat;Kota;38;
Joulumuorin Tupa;Koskikatu 3;98800;Savukoski;27.11.2012;Anniskelu A, kaikki alkoholijuomat;Ravintola;50;
Joulumuorin Tupa;Koskikatu 3;98800;Savukoski;27.11.2012;Anniskelu A, kaikki alkoholijuomat;Ravintolan terassi;60;
Joulumuorin Tupa;Koskikatu 3;98800;Savukoski;27.11.2012;Anniskelu A, kaikki alkoholijuomat;Hotelliaula;38;
Joulumuorin Tupa;Koskikatu 3;98800;Savukoski;27.11.2012;Anniskelu A, kaikki alkoholijuomat;Hotellin sauna;8;
Joulumuorin Tupa;Koskikatu 3;98800;Savukoski;27.11.2012;Anniskelu A, kaikki alkoholijuomat;Rantasauna;16;
Joutolammen kämppä;Lamminrovantie 620;96900;Rovaniemi;2.10.2018;Anniskelu A, kaikki alkoholijuomat;Kämppä;29;
Joutolammen kämppä;Lamminrovantie 620;96900;Rovaniemi;2.10.2018;Anniskelu A, kaikki alkoholijuomat;Sauna;10;
Joutsela Villa & Kitchen;Kopuntie 24;3100;Vihti;15.3.2020;Anniskelu A, kaikki alkoholijuomat;Ravintolasalit 4 kpl;100;
Joutsela Villa & Kitchen;Kopuntie 24;3100;Vihti;15.3.2020;Anniskelu A, kaikki alkoholijuomat;Kirjasto;10;
Joutsela Villa & Kitchen;Kopuntie 24;3100;Vihti;15.3.2020;Anniskelu A, kaikki alkoholijuomat;Terassi;20;
Joutsela Villa & Kitchen;Kopuntie 24;3100;Vihti;15.3.2020;Anniskelu A, kaikki alkoholijuomat;Piha-alue;60;
Jubupizza;Isokirkkokatu 7;26100;Rauma;6.11.2018;Anniskelu A, kaikki alkoholijuomat;Terassi;24;
Jubupizza;Isokirkkokatu 7;26100;Rauma;6.11.2018;Anniskelu A, kaikki alkoholijuomat;Ruokailusali;24;
Jugendsalen;Skolgatan 11;68600;Pietarsaari;25.9.2009;Anniskelu A, kaikki alkoholijuomat;Plan 4 / hotell;12;
Jugendsalen;Skolgatan 11;68600;Pietarsaari;25.9.2009;Anniskelu A, kaikki alkoholijuomat;Plan 2 / hotell;35;
Jugendsalen;Skolgatan 11;68600;Pietarsaari;25.9.2009;Anniskelu A, kaikki alkoholijuomat;Plan 1;320;
Jugendsalen;Skolgatan 11;68600;Pietarsaari;25.9.2009;Anniskelu A, kaikki alkoholijuomat;Källarplan;116;
Jugendsalen;Skolgatan 11;68600;Pietarsaari;25.9.2009;Anniskelu A, kaikki alkoholijuomat;Terrass;10;
Jugendsalen;Skolgatan 11;68600;Pietarsaari;25.9.2009;Anniskelu A, kaikki alkoholijuomat;Plan 3 / hotell;20;
Juhanila Kauneus & Hyvinvointi;Keskustie 11;52200;Puumala;2.10.2019;Anniskelu A, kaikki alkoholijuomat;Huone 1;2;
Juhanila Kauneus & Hyvinvointi;Keskustie 11;52200;Puumala;2.10.2019;Anniskelu A, kaikki alkoholijuomat;Huone 2;2;
Juhanila Kauneus & Hyvinvointi;Keskustie 11;52200;Puumala;2.10.2019;Anniskelu A, kaikki alkoholijuomat;Huone 5;2;
Juhanila Kauneus & Hyvinvointi;Keskustie 11;52200;Puumala;2.10.2019;Anniskelu A, kaikki alkoholijuomat;Aula;15;
Juhla Karhu;Kustaa III tie 9;45370;Kouvola;12.9.2007;Anniskelu A, kaikki alkoholijuomat;Sali;100;
Juhlahovi;Tikkalantie 7;26100;Rauma;1.1.2004;Anniskelu A, kaikki alkoholijuomat;Ravintolasali;300;
Juhlahovi;Tikkalantie 7;26100;Rauma;1.1.2004;Anniskelu A, kaikki alkoholijuomat;Kabinetit;50;
Juhlakartano Tähtiniemi;Tähtiniementie 29;41800;Jyväskylä;1.9.2012;Anniskelu A, kaikki alkoholijuomat;Terassi (talon yhteydessä);20;
Juhlakartano Tähtiniemi;Tähtiniementie 29;41800;Jyväskylä;1.9.2012;Anniskelu A, kaikki alkoholijuomat;Kokoustila (2 krs.);50;
Juhlakartano Tähtiniemi;Tähtiniementie 29;41800;Jyväskylä;1.9.2012;Anniskelu A, kaikki alkoholijuomat;Kabinetti (1krs.);20;
Juhlakartano Tähtiniemi;Tähtiniementie 29;41800;Jyväskylä;1.9.2012;Anniskelu A, kaikki alkoholijuomat;Saunaosasto ja aidattu terassialue;15;
Juhlakartano Tähtiniemi;Tähtiniementie 29;41800;Jyväskylä;1.9.2012;Anniskelu A, kaikki alkoholijuomat;Takkahuone (2 krs.);20;
Juhlakartano Tähtiniemi;Tähtiniementie 29;41800;Jyväskylä;1.9.2012;Anniskelu A, kaikki alkoholijuomat;Sali ja eteinen sekä veranta (1 krs;50;
Juhlaravintola&Country Bistro Maisa;Polsontie 35;34260;Tampere;4.5.2020;Ann.lupa sis. vähittäismyynnin;Sali;240;
Juhlaravintola&Country Bistro Maisa;Polsontie 35;34260;Tampere;4.5.2020;Ann.lupa sis. vähittäismyynnin;Baari;52;
Juhlaravintola&Country Bistro Maisa;Polsontie 35;34260;Tampere;4.5.2020;Ann.lupa sis. vähittäismyynnin;Terassi;183;
Juhlaravintola&Country Bistro Maisa;Polsontie 35;34260;Tampere;4.5.2020;Ann.lupa sis. vähittäismyynnin;Rantasauna;25;
Juhlaserviisi;Länsi-Louhenkatu 31;8100;Lohja;28.4.2020;Ann.lupa sis. vähittäismyynnin;Terassi;12;
Juhlaserviisi;Länsi-Louhenkatu 31;8100;Lohja;28.4.2020;Ann.lupa sis. vähittäismyynnin;Ravintolasali;75;
Juhlatalo Juurikkasaari;Juurikantie 5;40900;Jyväskylä;9.6.2020;Ann.lupa sis. vähittäismyynnin;Tanssipaviljonki (1.4.-31.10.);200;
Juhlatalo Juurikkasaari;Juurikantie 5;40900;Jyväskylä;9.6.2020;Ann.lupa sis. vähittäismyynnin;Juhlatalo;140;
Juhlatalo Juurikkasaari;Juurikantie 5;40900;Jyväskylä;9.6.2020;Ann.lupa sis. vähittäismyynnin;Rantasauna;30;
Juhlatalo Juurikkasaari;Juurikantie 5;40900;Jyväskylä;9.6.2020;Ann.lupa sis. vähittäismyynnin;Paviljonki Baari 1.4.-31.10;50;
Juhlatalo Juurikkasaari;Juurikantie 5;40900;Jyväskylä;9.6.2020;Ann.lupa sis. vähittäismyynnin;Paviljongin pääterassi 1.4.-31.10;120;
Juhlatalo Juurikkasaari;Juurikantie 5;40900;Jyväskylä;9.6.2020;Ann.lupa sis. vähittäismyynnin;Paviljongin takaterassi 1.4.-31.10;35;
